,comment
178,差辈了吧，，，奶奶桑 
179,不好意思，评论区没有你的哥哥。被你叫哥哥岂不是要归西了？ 
180,回复@我是kiki嗯: 
181,回复@_Nini_ni:一边去吧，奶奶，坤坤比你好看多了 
182,回复@我是kiki嗯:啊啊啊啊啊谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢 
183,好感动啊~这届黑粉太可爱了~ 
184,奶奶下午好 
185, 
186,老肥婆您恶不恶心 
187,谢广坤?祝你们白头偕老哦⊙∀⊙！ 
188,愿世间再无乔碧萝 
189,回复@我是kiki嗯:谢谢，好可爱啊😁 
190,我们本来百万反坦克巨炮，你还黑了蔡徐坤，这样不好给你带来好处，只会让我们百万反坦克巨炮和百万ikun们联手来喷你。^-^ 
191,……奶奶你别叫人哥哥了行不，我有点接受不了，您不如叫人家孙子……反而非常合乎辈分 
192,决 决斗 决胜负。有时间装萝莉多读点书吧。哎妈呀 
193,你就是传说中的反坦克巨炮？ 
194,我寻思我今年才22，为什么老被58岁的奶奶叫哥哥？？ 
195,回复@当忆相思: 
196,回复@当忆相思: 
197,孤寡老人二次创业遭众网友反对 
198,这么缺钱吗？ 
199,奶奶省省吧 
200,回复@我是kiki嗯:这一次的黑好🉑 🉑 
201,回复@Suc_1356: 
202,起码蔡徐坤是98年的小孩子，老奶奶闭嘴吧 
203,回复@Navi和芹菜炒芒果冰:啊啊啊帅爆了 
204,回复@_Nini_ni:我不喜欢cxk 看了一眼乔碧萝 tm的果断站蔡徐坤这边 乔碧萝。。。。 
205,回复@v流年瞬间:😂 
206,麻烦您长得恶心，做的恶心，素质别那么恶心行吗？您自己几斤几两没点数？还很坤坤一决胜负？杨坤？蔡徐坤？谢广坤？不好意思，您都不配比，也比不上。别出来恶心人了奶奶。好好养老。 
207,回复@减负:蔡女士比你好看多了 
208,回复@乖巧巧:蟹蟹小仙女！！ 
209,回覆@夏阿德:不是美是帅哦 谢谢 
210,回复@syokk:哈哈哈 
211,回复@是轻烟:这一次谢谢你啦 
212,回复@syokk:哈哈哈 
213,回复@是轻烟:这一次谢谢你啦 
214,回覆@mea酱真是太可爱辣:鸡咪是蔡徐坤不是菜虚鲲哦 下次注意一点 还有其实他不蔡 玩梗适度哟 
215,请把徐坤的出场费结了！ 
216,回复@a一只甜茶猫:蔡娘坤的女粉果然是有jj的，厉害 
217,你有蔡徐坤三个这么重 自己多重心里没点b数吗？我tm一脚踹你大脸盘子上，你都多大了 还喊蔡徐坤哥 自己多大心里没点b数都这个时候了，还好意思带蔡徐坤 现在这个已成事实 可怜的是你连蔡徐坤都比不上  您可真可怜 现在说你都估计算是欺负老人喽，不带cxk 没热度？ 
218,回复@_Nini_ni:癌菜虚鲲 
219,叫谁哥哥呢？  比我坤哥大37岁居然叫哥哥 要不要脸 
220,回复@不要错过奈渊渊:上 
221,回复@小墨镜的小领带:有点小感动 
222,您儿女不得丢脸丢老家去。。。 
223,带我们坤坤干嘛 
224,回复@-真的没有糖-:厉害厉害娃哈哈 
225,回复@PrKathle2n:冲冲冲冲 
226,回复@纯欲彩花:哈哈哈哈哈哈 
227,回复@-真的没有糖-:哈哈哈哈 
228,可不敢让你叫哥哥，我还年轻呢 
229,回复@武陵钓鱼人:只是暂时吗 
230,回复@爱吃橙子的小阿离:jm我爱你！说的太好了 
231,评论区黑粉可爱的我一个真爱粉都不好意思了  哈哈哈哈 
232,坤是宁爹中爹 闭嘴吧臭奶奶 
233,回复@Suc_1356:入股蔡徐坤不亏 
234,火的好快 
235,奶奶厉害👍 
236,回复@优秀的皃孖聿:你都参加过 
237,回复@坤坤养大的蔡夫人:摸摸头 
238,回复@你的敌壹:蔡徐坤185  谢谢 
239,回复@Amber吖琪琪77:怎么说话呢嗯？快给奶奶道歉！咱们要尊老爱幼！ 
240,巨C家不扶贫哦奶奶 
241,可惜了这些动漫人物 
242,回覆@奶你一下就跑:自慰 
243,回复@校语妍妍:这样可以洗白 
244,回复@syokk:我也想加群 
245,回复@LEO磊少1226:不危险 
246,奶奶，您还是叫我孙子吧 
247,回复@_Nini_ni:开始洗白了？ 
248,真ex，别拿别人开玩笑了吧，自己啥样想一想吧 
249,回复@减负:这都开始洗白了？？ 
250,回复@28K纯浙江人:宁出去问问，有几个质疑蔡徐坤的颜值，自己待在小山沟子里宁哪来的高尚感呢，你咋那么搞笑呢，黑粉都从来不黑蔡徐坤的颜值，还搞不清楚状况呢？？？是你自己跟那儿美颠美颠的以为自己多高尚呢 
251,蔡徐坤:我接受不了，这人太……好看了 
252,回复@陌路51198:秀儿，是你吗 
253,回复@_Nini_ni:为什么黑粉突然变得辣么可爱ớ ₃ờ 
254,回复@_Nini_ni:可恶啊，因为她我居然要当一天ikun 
255,回复@_Nini_ni:可恶啊，因为她我居然要当一天ikun 
256,坤坤好歹还是个绝世美女，老奶奶您配吗？ 
257,一决胜负。决。 
258,回复@我是kiki嗯:谢谢你呀！我看你粉上蔡徐坤吧！真的过了这村没这店 
259,回复@抗压吧务团队_1:大娃 
260,没人知道她住哪里吗 
261,你这是要把坤坤洗白的节奏啊 
262,恶心不 你配么 
263,回复@锋哥哥咩-Centerless:为什么我突然觉得你很可爱ớ ₃ờ 
264,回覆@坤式的ice:人家之前多次艾特蔡徐坤粉丝团官博蹭热度 
265,回复@一个自带月亮光环的女子:来了 
266,回复@乖巧巧:好爱你啊！ 
267,回复@28K纯浙江人:想不到宁白内障还挺优越的，人家都看得清楚就宁看不清楚宁多独特多优越多有存在感呢，xswl，宁就继续《蒙着眼》吧昂 
268,回复@Yying_范蔡正昊: 
269,回复@减负:IKUN本人觉得非常好看 
270,回复@减负:IKUN本人觉得非常好看 
271,回复@土豆要好好吃肉:去你丫的吧 
272,回复@28K纯浙江人:是你脑子又问题吧，多少人都是饭圈的，你自己独树一帜还觉得自己挺🐂🍺呢？？就宁，别跟我提素质，宁自己也没好到哪里去 
273,滚 
274,我去你丫的。我这次捧蔡徐坤 
275,永封！活该，看着就恶心 
276,回复@_Nini_ni:你在逼我们大家站鲲鲲 
277,回复@patata帕塔塔:谢谢大家了呢 
278,支付宝倒扣一个亿 
279,回复@减负:坤哥五官精致是真的好吗，她58的乔某是什么玩意儿？？ 
280,奶奶您老人家好 
281,回复@羡哥竟然用颜值:我真的佛了，我一个黑粉给坤坤控个评你们粉丝还要管我，这么弱智的口号竟然是赵丽颖家喊出来的实属把大🔥给逗乐了呢 
282,回复@乖巧巧:没关系不黑就好了❤️ 
283,回复@syokk:鬼信啊  去你丫的吧 
284,回复@_Nini_ni:菜某再不行她也是98年的，你个68年的奶奶叫谁哥哥呢 
285,回复@校语妍妍:鹅鹅鹅h 
286,回复@淺笑嫣然-86:大脑正常的人都不会碰饭圈哦 还挤？在这么个粪坑里面呆着你还怪优越的 
287,带cxk也太没素质了。 
288,回复@_Nini_ni:突然发现我们家黑粉占有欲好强，给你们点赞 
289,回覆@刘源老婆_:她前面多次艾特了蔡徐坤粉丝团官博 
290,回复@樱宿雪:鹅鹅鹅 
291,奶奶，您和您孙女同台直播一次行不 
292,回复@Ya1e:好东西一小可爱 
293,坤坤罪不至此 
294,回复@我听说过你m:鹅鹅鹅 
295,回复@唯虫·:2个吗？ 
296,回复@叶安乔今天也爱富贵鸭:还想跟我们坤哥一决胜负那看来要等你zufen冒qingyan了吧 
297,回复@埃罗芒阿大叔:欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉 
298,回复@甜甜泡芙_:我还以为是我手机的问题 
299,蔡徐坤有iKun，你有啥？ 
300,哥哥？你是认真的吗，我们奶奶都50多了，应该是孙子吧 
301,回复@淺笑嫣然-86:谢谢你w，小姐姐你也很可爱😉 
302,微博坤粉比较多 
303,回复@乖巧巧:谢谢你鸭 
304,回复@顾拙言的甜心宝贝:好可爱 
305,回复@blurstate:欢迎 
306,回复@28K纯浙江人:哎，不好意思，明星就是要粉丝喜欢昂，不懂饭圈咱就别往里挤了昂，闹笑话 
307,乔碧萝老奶奶又想搞事情🐴长成这个bi样还敢出来，我们坤坤是你能叫的🐴这个年纪叫我们坤坤哥哥你没有一点自知之明🐴真的是不要点bi脸 
308,老女人你也配和cxk相提并论？？ 
309,回复@RamL-:好可爱 
310,回复@v睿哥:你真可爱 
311,回复@28K纯浙江人:你跟你刚出生的时候还不长一个样呢，那是不是我还有理由认为你整张脸都是做的呢？ 
312,回复@是轻烟:谢谢令勒，你好可爱耶 
313,回复@28K纯浙江人:那就请宁好好看看评论区，黑转粉路转粉的都不少昂，黑粉现在都站蔡徐坤了宁是有白内障嘛 
314,回复@18Sept:谢谢 
315,回复@刘海炸啦:你好帅(ke)气(ai) 
316,回复@Suc_1356:欢迎欢迎 
317,Cxk是你爹呢。 
318,回复@减负:礼貌拿图，谢谢 
319,臭坦克  臭奶奶  您配🐴  您有三个cxk重 
320,回复@淺笑嫣然-86:我有什么好装的 路人不路人关系很大吗？蔡徐坤这种货除了粉丝有人喜欢？ 
321,回复@我是kiki嗯:嘻嘻嘻，好可爱的鸡咪 
322,回复@淺笑嫣然-86:我有什么好装的 路人不路人关系很大吗？蔡徐坤这种货除了粉丝有人喜欢？ 
323,回复@我是kiki嗯:嘻嘻嘻，好可爱的鸡咪 
324,回复@专撕娱乐圈二百年:谢谢  
325,回复@28K纯浙江人:宁就继续装路人吧昂，ex 
326,回复@Suc_1356:欢迎 
327,回复@攻得无量万受无疆97291:哦哦，不好意思，如果有误的话会删 
328,@菜籽油反黑组 太恶心了她 
329,不是，老太婆叫谁哥呢，老子是你爸爸 
330,回复@28K纯浙江人:xswl 宁有多好看啊？？？嗯？ 宁之前丑在外表 现在丑的外焦里嫩 
331,回复@夏子木233:谢谢 
332,回复@凉凉凉凉茶_:随时欢迎 
333,奶奶你有事吗 
334,我站蔡徐坤谢谢 
335,有脸带蔡徐坤？你和人家是一个档次的么？ 
336,我不能露脸，我要过十万订阅 
337,比不了，这真的比不了。奶奶是觉得喷cxk就能挽回那一群直播间里给你刷礼物的直男？别想了，人cxk好歹1998年小哥哥一米八几身高，唱歌跳舞不差，人家演唱会生图很帅。你真的比不上 
338,回复@小冯今天开心吗_:这女的好恶心了 炒作直播还蹭热度 营销手段是了 
339,回复@_Nini_ni:我曾经也是会黑坤坤但是我选择爱坤坤了 
340,你配吗 
341,奶奶好呀 
342,你有三个坤坤重 
343,回复@_Nini_ni:我喜欢你这种有原则的黑粉 
344,回复@syokk:哈哈哈 
345,人丑心陋，真不知道那个苦命的是你孩子 
346,回复@淺笑嫣然-86:看过以前照片 不长这样。当然我也没有说他现在好看，以前丑的朴素大方，现在丑的妖娆妩媚 
347,回复@减负:对不起，我是他粉丝，我也觉得好看。 
348,回复@28K纯浙江人:客观评价？xswl 客观评价第一句就是“鼻子是做的”？ 当粉丝傻呢？ 宁真的好一句客观评价啊 客观评价请问宁的证据在哪里呢？ 说人家鼻子做的起码要有证据吧？嗯？ 没证据跟这瞎叭叭啥呢？ 
349,🐔你太美 
350,回复@诗绘鸭:不是可能，是事实 
351,你可闭嘴吧，体重得有我家一爹五个重了吧，真的是，咋那么多事呢？你这岁数叫您一声奶奶不过分吧，还装萝莉？ 
352,回复@Suc_1356:有点可爱？？？ 
353,回复@28K纯浙江人:路人也真的没素质 “鼻子是做的”“鸡你太美”说这么顺口的路人我头一次见昂 路人嘴巴那么不干净吗？ 还是你拿粉丝当傻子？嗯？ 你是个什么东西我们看不出来吗？ 一开始我没跟你好好说话吗？ 你瞅你第一次回复我的那是人话吗？ 要我给你高素质？请问宁配吗？ 
354,鸡你太美与做作萝莉奶奶pk？ 
355,回复@不要再忘记密码了ll:暴躁姐妹在线骂人 
356,回复@RamL-:谢了 
357,惡心的人，噢，不！奶奶，我得尊老愛幼。 但是，奶奶，你能再丑點嗎？還帶上別人，什麼素質 
358,回复@淺笑嫣然-86:客观评价而已 
359,回复@边星星呐:男孩子有些20几还会长…不懂就别瞎说好吗… 
360,要点b脸吧您 
361,回复@鸟国之美丽者:实锤（直播画面） 
362,回复@syokk:她发的那些照片也p得好过分 
363,回复@28K纯浙江人:纯路人？纯路人就把你的“鸡你太美”撤回去还有那句“蔡徐坤的鼻子是做的”好意思吗你，xswl，乱说话还byl请问您是什么神仙？ 
364,回复@减负:蔡徐坤怎么讲好像也比您好8 
365,回复@syokk:哈哈哈配的太好了吧 连笑声都一样 
366,举报诈骗犯 
367,奶奶好 
368,虽然我不怎么喜欢蔡徐坤的粉丝，但是你嘲讽别人为自己洗白，这也太…… 
369,回复@只会说meaqua:emmm....还是要尊重人的，下次把坤的名字写对可以吗？谢谢谢谢 
370,回复@28K纯浙江人:是您先没素质的吧又在这甩锅，有没有点新花样，说蔡徐坤鼻子做的您证据呢？没证据跟这瞎叭叭半天？？？你那张嘴是什么都往外说的吗？不管真的假的？自己素质什么样看不见吗？ 
371,带你蔡爹干嘛？宁配🐴 ？你这岁数都能当他奶奶了 四个他估计是你的重量 
372,回复@28K纯浙江人:是您先没素质的吧又在这甩锅，有没有点新花样，说蔡徐坤鼻子做的您证据呢？没证据跟这瞎叭叭半天？？？你那张嘴是什么都往外说的吗？不管真的假的？自己素质什么样看不见吗？ 
373,带你蔡爹干嘛？宁配🐴 ？你这岁数都能当他奶奶了 四个他估计是你的重量 
374,回复@减负:我一个老粉笑了半天哈哈哈哈哈哈哈哈哈哈哈哈哈 
375,现在微博风气真的差，对国家履带式装甲战斗车辆就这态度？ 
376,妈的哈哈哈哈哈哈哈哈哈哈哈笑死我了大妈 
377,回复@_Nini_ni:我站坤坤 
378,坤坤是你爹吗？如果要是的话，就叫爸爸，不是的话，请不要蹭热度。 
379,回复@你的敌壹:蔡徐坤1.95的好嘛  见过真人 
380,感谢您老人家把我坤给洗白了😂   我突然发现蔡黑还是挺可爱的，坤家欢迎你们❤ 
381,回复@我见过风呀:谢谢 
382,奶奶，你跟榜一见面了吗？ 你这件事件，最大受益方是斗鱼平台，其次是晴天哦！ 他们都赚了流量，赢了名声， 
383,回复@蔡徐坤后入孙笑川:我笑抽了  哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈 
384,赵宝昆 
385,回复@蔡徐坤后入孙笑川:小心抖36d拍死你 
386,回复@或许彡命中注定:emm...蔡徐坤一直比她要白 
387,回复@抗压吧务团队_1:年纪轻轻也不怕被压死 
388,回复@Dream勿念:玩梗适度哈🌹 
389,你哥哥们都七老八十了还刷微博，你叫谁哥哥啊 
